image_name,question,answer
Install_Win10_srinshots7.jpg,Какой раздел выделен для установки Windows?,Диск 0 Раздел 2.
Install_Win10_srinshots7.jpg,Что нужно сделать после выбора раздела?,Нажать кнопку 'Далее'.
95368e67dcc4a4b704151a9ddb0c513e.png,Какие меры безопасности применяются на уровне браузера?,"Аутентификация пользователей, предотвращение изменений параметров, защита конфиденциальных данных, предотвращение перехватов сеансов и атак воспроизведения cookie."
95368e67dcc4a4b704151a9ddb0c513e.png,Какие функции выполняет межсетевой экран?,Межсетевой экран обеспечивает предотвращение изменений параметров и защиту конфиденциальных данных.
95368e67dcc4a4b704151a9ddb0c513e.png,Какие меры безопасности реализованы на веб-сервере?,"Обеспечение безопасной конфигурации, обработка исключений, авторизация пользователей, валидация ввода."
95368e67dcc4a4b704151a9ddb0c513e.png,Какие задачи выполняет сервер приложений в контексте безопасности?,"Аутентификация и авторизация входящих удостоверений, аудит, протоколирование и поддержка транзакций, защита конфиденциальных данных."
95368e67dcc4a4b704151a9ddb0c513e.png,Какие меры безопасности применяются на сервере базы данных?,Кодирование или хеширование конфиденциальных данных.
avtomatizacia-processov.jpg,Какова основная цель представленной схемы?,Комплексная автоматизация бизнеса.
avtomatizacia-processov.jpg,Какие задачи связаны с разработкой сайта компании?,"Разработать запоминающийся сайт компании, продвинуть его в сети Интернет, связать 1С с сайтом (быстрый обмен прайсами, справочниками), организовать электронный документооборот (внутренний и внешний)."
avtomatizacia-processov.jpg,Что включает автоматизация склада компании?,"Автоматизировать склад (склады) компании, настроить управление остатками on-line, настроить обмен данными с головным офисом."
avtomatizacia-processov.jpg,Какие направления охватывает автоматизация розничной торговли?,"Автоматизировать розничную торговлю, торговые точки, супермаркеты, автоматизировать АЗС, настроить обмен данными с головным офисом."
avtomatizacia-processov.jpg,Что необходимо для настройки IP АТС станции?,"Настроить IP АТС станцию на неограниченное количество пользователей, поставить и настроить серверное оборудование, настроить корпоративный почтовый ресурс."
svi_259.webp,Какой возрастной диапазон составляет наибольшую часть целевой аудитории?,45% целевой аудитории в возрасте от 25 до 45 лет.
svi_259.webp,Какое соотношение мужчин и женщин в целевой аудитории?,45% мужчин и 55% женщин.
svi_259.webp,Какие устройства чаще всего используются для выхода в Интернет?,"65% используют ПК, 25% смартфоны, 10% планшеты."
svi_259.webp,Какое время суток является самым активным для пользователей в Интернете?,Самое активное время — вечер (35%).
svi_259.webp,Как часто целевая аудитория делает покупки?,"50% делают покупки каждую неделю, 35% — раз в месяц, 15% — реже."
07161728092022_97466caa195921dd2efb77ba7946a3c423d4b8b1.png,Какие этапы включает процесс обработки заказа вручную?,"Процесс обработки заказа вручную включает: получил заказ, набрал номер клиента, отследил оплату, написал на склад, напечатал наклейки и маркировку, запаковал товар, подготовил накладную, отнёс товар на почту, написал клиенту."
07161728092022_97466caa195921dd2efb77ba7946a3c423d4b8b1.png,Какие этапы процесса автоматизированы?,"Автоматизированы этапы: получил заказ, запаковал товар, отнёс товар на почту."
07161728092022_97466caa195921dd2efb77ba7946a3c423d4b8b1.png,Какие действия выполняются после получения заказа при ручной обработке?,"После получения заказа вручную выполняются: набор номера клиента, отслеживание оплаты, написание на склад, печать наклеек и маркировки, упаковка товара, подготовка накладной, отнесение товара на почту, написание клиенту."
07161728092022_97466caa195921dd2efb77ba7946a3c423d4b8b1.png,Как отличается процесс с автоматизацией от процесса вручную?,"Процесс с автоматизацией упрощён и включает только три этапа: получил заказ, запаковал товар, отнёс товар на почту, в то время как вручную процесс состоит из множества шагов."
07161728092022_97466caa195921dd2efb77ba7946a3c423d4b8b1.png,"Что происходит после того, как товар запакован в ручном процессе?","После упаковки товара вручную подготавливают накладную, затем относят товар на почту."
algoritm.jpg,"Какой кофе соответствует человеку, который любит эпатировать окружающих и гадает на кофейной гуще?",Прямолинейный эспрессо.
algoritm.jpg,"Какой кофе подходит человеку, который хочет жить у моря и любит яркий вкус?",Яркий латте.
algoritm.jpg,"Какой кофе выбирает романтичный человек, который пьет кофе с сахаром и молоком?",Романтичный капучино.
algoritm.jpg,"Какой кофе соответствует человеку, который живет за городом, не может рассмешить незнакомца и не справляется со стрессом?","Очень жаль, но это не кофе."
algoritm.jpg,"Какой кофе предпочитает рациональный человек, который пьет кофе без сахара и любит американский стиль?",Рациональный американо.
sravneniya.jpg,Как чай влияет на артерии и кровяное давление?,Чай улучшает артерии и уменьшает кровяное давление.
sravneniya.jpg,Какая польза зелёного чая для мозга?,Зелёный чай предотвращает болезнь Альцгеймера.
sravneniya.jpg,Как зелёный чай влияет на почки?,Зелёный чай предотвращает образование камней в почках.
sravneniya.jpg,Какой компонент в зелёном чае предотвращает кариес?,"Антиоксидант, содержащийся в зелёном чае, предотвращает кариес."
sravneniya.jpg,Какое влияние кофе оказывает на риск заболевания диабетом?,Выпивание более четырёх чашек кофе в день снижает риск заболевания диабетом.
бизнес-процессы-в-Битрикс24.png,Что происходит после сообщения кристу?,После сообщения кристу начинается цикл.
бизнес-процессы-в-Битрикс24.png,Какие три варианта действий предусмотрены с контрагентом?,"Отклонить, запросить информацию, утвердить."
бизнес-процессы-в-Битрикс24.png,"Что происходит, если контрагент отклонен?","Статус меняется на отклонен, и контрагент в процессе отсутствует."
бизнес-процессы-в-Битрикс24.png,"Что происходит, если требуется информация?","Статус меняется на требуется информация, и отправляется сообщение с запросом информации."
бизнес-процессы-в-Битрикс24.png,"Что происходит, если контрагент утвержден?","Статус меняется на одобрен, и контрагент в процессе отсутствует."
cordovaapparchitecture-ru.png,Что представляет собой приложение Cordova согласно схеме?,"Приложение Cordova состоит из Web App и плагинов Cordova, которые взаимодействуют через HTML Rendering Engine (WebView) и Cordova Native APIs."
cordovaapparchitecture-ru.png,Какие компоненты входят в Web App в приложении Cordova?,"В Web App входят Flexberry Ember приложение, config.xml и Ресурсы."
cordovaapparchitecture-ru.png,Какие плагины Cordova указаны на схеме?,"Плагины Cordova включают Акселерометр, Геолокации, Камера, Мультимедиа, Устройство, Сеть, Контакты, Память и Стандартные плагины."
cordovaapparchitecture-ru.png,Как взаимодействует HTML Rendering Engine (WebView) с мобильной ОС?,HTML Rendering Engine (WebView) взаимодействует с мобильной ОС через OS APIs.
cordovaapparchitecture-ru.png,Какие сервисы мобильной ОС показаны на схеме?,"Показаны Сервисы, Датчики, Устройства ввода и Графика."
image_8_1.jpg,Что обозначает элемент с номером 1 на схеме?,Элемент с номером 1 обозначает DNS.
image_8_1.jpg,Какую роль выполняет элемент с номером 2?,Элемент с номером 2 — это балансировщик нагрузки.
image_8_1.jpg,Какие компоненты связаны с серверами веб-приложения (элемент 3)?,"Сервера веб-приложения связаны с базой данных (4), балансировщиком нагрузки (2), сервером кеширования (5), очередью заданий (6а), полнотекстовым поиском (7) и службами (8)."
image_8_1.jpg,Что представляет собой элемент с номером 6а?,Элемент 6а — это очередь заданий.
image_8_1.jpg,Какие хранилища данных показаны на схеме?,"На схеме показаны база данных (4), хранилище данных (9с), облачное хранилище (10) и «firehose» хранилище (9а)."
10.jpg,Какие типы установок экрана представлены на изображении?,Встраиваемый (Phantom) и Настенно-потолочный (Slimline).
10.jpg,Для чего предназначен встраиваемый (Phantom) экран?,Только для скрытой установки под потолок.
10.jpg,Какие варианты установки предусмотрены для настенно-потолочного (Slimline) экрана?,"1. Установка в потолочную нишу (с зазорами), 2. Установка на кронштейнах (к стене или потолку), 3. Установка в подвес (к потолку)."
10.jpg,Как выглядит установка встраиваемого экрана под потолок?,"Экран установлен скрыто под потолком, видна только рабочая поверхность экрана, корпус спрятан."
10.jpg,Чем отличается установка настенно-потолочного экрана в потолочную нишу от установки на кронштейнах?,"При установке в нишу экран размещается с зазорами внутри потолочной ниши, а при установке на кронштейнах экран крепится непосредственно к стене или потолку с помощью кронштейнов."
34.png,Что изображено слева на схеме?,Слева изображён существующий портфель прикладных систем.
34.png,Что изображено справа на схеме?,Справа изображён планируемый портфель прикладных систем.
34.png,Какие элементы входят в существующий портфель прикладных систем?,"В существующий портфель входят бизнес-процессы, приложения, данные (1, 2, 3) и стиль инфраструктуры."
34.png,Какие элементы входят в планируемый портфель прикладных систем?,"В планируемый портфель входят бизнес-процессы, приложения, данные (1, 2, 3, 4) и стиль инфраструктуры."
34.png,Какая роль у плана развития архитектуры организации на схеме?,План развития архитектуры организации связывает существующий и планируемый портфели прикладных систем.
pafbZ38.png,Что означает кнопка 'Отключить' в разделе 'Активность'?,Кнопка 'Отключить' предназначена для выключения текущей активности.
pafbZ38.png,Какие четыре кнопки доступны в разделе 'Автоматизация'?,"В разделе 'Автоматизация' доступны кнопки 'Автоатака', 'Лечение', 'Баффы' и 'События'."
pafbZ38.png,Что регулирует ползунок в разделе 'Производительность'?,Ползунок в разделе 'Производительность' регулирует скорость от минимальной нагрузки до максимальной скорости.
pafbZ38.png,Какая опция активирована в разделе 'Игра в фоне'?,"В разделе 'Игра в фоне' активирован ползунок, установленный ближе к минимальной нагрузке."
pafbZ38.png,Какие горячие клавиши указаны для вызова окна интерфейса и включения/отключения скрипта?,"Горячие клавиши: HOME - вызвать окно интерфейса, END - включить/отключить скрипт, INS - включить/отключить группу скриптов."
1_vFkTpST93rHMGxklyTEn-A.png,Какие устройства используют пользователи для доступа к системе?,Пользователи используют веб-браузер и мобильные устройства для доступа к системе.
1_vFkTpST93rHMGxklyTEn-A.png,Какой компонент отвечает за распределение нагрузки между серверами?,Компонент Load Balancer отвечает за распределение нагрузки между серверами.
1_vFkTpST93rHMGxklyTEn-A.png,Какие типы баз данных используются в системе?,В системе используются реляционная база данных (Relational Database) и NoSQL база данных (NoSQL Database).
1_vFkTpST93rHMGxklyTEn-A.png,Какой процесс используется для обработки данных перед загрузкой в хранилище данных?,"Используется процесс ETL (Extract, Transform, and Load) для обработки данных перед загрузкой в хранилище данных."
1_vFkTpST93rHMGxklyTEn-A.png,Какие сервисы уведомлений включены в архитектуру?,"В архитектуру включены SMS/Mobile Push Notifications, Email Notifications, Message Queue и Monitoring Dashboard."
3.png,Какая СУБД используется в данной системе?,Используется СУБД MySQL.
3.png,Какой сервер используется для обработки HTTP-запросов?,Используется веб-сервер HTTP Apache.
3.png,Какие языки и технологии используются для программного интерпретатора?,Используется Perl для программного интерпретатора.
3.png,Какие типы шаблонов используются на сервере?,"Используются Perl modules (.pm), Perl scripts (.pl), HTML templates (.htm) и RTF templates (.txt)."
3.png,Какие протоколы и форматы данных используются для взаимодействия между сервером и клиентом?,"Используются LAN/WAN, HTTP (+CGI) с форматами RTF, HTML и Excel."
AUTO_BP.jpg,Что изображено слева на изображении?,"Слева изображена лупа, увеличивающая часть круговой диаграммы."
AUTO_BP.jpg,Какие элементы связаны с планированием на изображении?,"Календарь и стрелки, указывающие на последовательность действий, связаны с планированием."
AUTO_BP.jpg,Что символизирует шахматная фигура на изображении?,Шахматная фигура символизирует стратегию.
AUTO_BP.jpg,Какие финансовые элементы присутствуют на изображении?,"На изображении присутствуют значок доллара, шестерёнки и диаграммы, связанные с финансами."
AUTO_BP.jpg,Что показывает график на ноутбуке?,График на ноутбуке показывает рост.
adrenalin-bot-9.png,Какое имя бота отображается в окне программы?,AdrenalinBOT
adrenalin-bot-9.png,Какие боевые навыки настроены для атаки цели?,Атака и Смертельный Удар
adrenalin-bot-9.png,Какое условие установлено для использования навыка 'Смертельный Удар'?,Цели HP% < 50
adrenalin-bot-9.png,Какой приоритет установлен для навыков атаки?,Норм
adrenalin-bot-9.png,Какой диапазон дистанции умения для 'Смертельный Удар'?,0 - 75
tmp190B-3.jpg,С какого шага начинается процесс?,Процесс начинается с шага 'Пользователь попадает на портал'.
tmp190B-3.jpg,"Что происходит, если пользователь не зарегистрирован?","Если пользователь не зарегистрирован, происходит отправка информации о попытке входа, и процесс заканчивается."
tmp190B-3.jpg,Какие действия выполняет пользователь после построения интерфейса?,"После построения интерфейса пользователь работает с отчетами, создает заявки и визирует заявки."
tmp190B-3.jpg,"Что происходит, если у пользователя нет задач?","Если у пользователя нет задач, он выходит из системы, и процесс заканчивается."
tmp190B-3.jpg,Какие действия выполняет система после выполнения заданий сервером?,После выполнения заданий сервером система сохраняет информацию в базе данных и обновляет интерфейс.
uYA3JVO.png,Какой версии интерфейса показано на изображении?,Интерфейс версии 5.16.
uYA3JVO.png,Какие основные разделы меню видны слева?,"Основное, Селф хил, Селф баф, Пати хил-баф, Пати настройки, Атака, Поиск цели, Зона поиска, Дроп, Разное, События."
uYA3JVO.png,Какие кнопки доступны в разделе 'Автоматизация'?,"Автоатака, Лечение, Бафы, События."
uYA3JVO.png,Какие горячие клавиши указаны для управления интерфейсом?,"HOME - Вызвать окно интерфейса, END - Включить / Отключить, INS - Включить / Отключить (Группа)."
uYA3JVO.png,Какие опции можно включить в разделе 'Базовые опции'?,"Включить активность, Ручной поиск цели, Скрипт пауза, Запустить скрипт после входа в игру, Ускорить магическую атаку (медленный интернет), Получать неизвестные имена предметов из игры и применить для всех."
5.png,Какие клиентские приложения показаны на схеме?,Показаны два клиентских приложения: Веб и Моб.
5.png,Какие микросервисы представлены на схеме?,"Представлены четыре микросервиса: Каталог, Корзина, Скидка и Заказ."
5.png,Какие микросервисы взаимодействуют с веб-приложением?,"Веб-приложение взаимодействует с микросервисами Каталог, Корзина и Заказ."
5.png,Какие микросервисы взаимодействуют с мобильным приложением?,"Мобильное приложение взаимодействует с микросервисами Корзина, Скидка и Заказ."
5.png,Какое хранилище данных используется для микросервисов?,Для каждого микросервиса используется отдельная база данных (DB).
Functional-scheme-X.509-proxy-ru.png,Что обозначает блок 'Центр сертификации ключей' на схеме?,"Это основной блок, включающий в себя различные подсистемы и модули для управления сертификатами и ключами."
Functional-scheme-X.509-proxy-ru.png,Какие базы данных используются в 'Центре сертификации'?,Используются базы данных БД ЦСК и БД ЦСК (резерв).
Functional-scheme-X.509-proxy-ru.png,Какие модули связаны с регистрацией в схеме?,"Модуль гарантированного уничтожения ключевого контейнера, АРМ регистратора, БД Центра регистрации, АРМ администратора регистрации, Модуль генерации ключей."
